,player,AGcuber19,BurleyWalrus,EmmaXLi,Marsboom,Ravenclawfairy,TLPAWN,akfunchess66,claraqiu,xiaoanwu,zora_zhu
0,AGcuber19,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,
1,BurleyWalrus,0.0,,1.0,1.0,1.0,,,1.0,0.0,
2,EmmaXLi,0.0,1.0,,,1.0,0.0,,0.0,1.0,1.0
3,Marsboom,0.0,1.0,,,0.0,0.0,1.0,0.0,,0.0
4,Ravenclawfairy,,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0
5,TLPAWN,1.0,,0.0,0.0,,,0.0,,0.0,1.0
6,akfunchess66,1.0,,,1.0,1.0,0.0,,1.0,0.0,1.0
7,claraqiu,1.0,1.0,0.0,0.0,1.0,,1.0,,,1.0
8,xiaoanwu,1.0,0.0,1.0,,1.0,0.0,0.0,,,0.0
9,zora_zhu,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,
